Filename,Start Time (s),End Time (s),Detected Feature
GC_F2_20Ml.wav,4.4117913832199545,4.4117913832199545,Energy
GC_F2_20Ml.wav,1478.8673015873017,1486.4602267573696,Envelope
GC_F2_20Ml.wav,1489.8503401360545,1499.358911564626,Envelope
GC_F2_20Ml.wav,1502.0524263038549,1512.3620861678005,Envelope
GC_F2_20Ml.wav,1517.3543764172337,1568.2873469387755,Envelope
GC_F2_20Ml.wav,1570.42358276644,1572.0838095238096,Envelope
GC_F2_20Ml.wav,1575.009523809524,1581.4066213151928,Envelope
GC_F2_20Ml.wav,1582.4979591836734,1584.4484353741498,Envelope
GC_F2_20Ml.wav,1587.8965986394558,1591.1009523809523,Envelope
GC_F2_20Ml.wav,2263.3766893424036,2266.6855328798188,Envelope
GC_F2_20Ml.wav,2269.924716553288,2324.0504308390023,Envelope
GC_F2_20Ml.wav,2330.9931972789113,2346.202267573696,Envelope
GC_F2_20Ml.wav,2.8676643990929707,3.053424036281179,Spectral Flux
GC_F2_20Ml.wav,3.076643990929705,4.4117913832199545,Spectral Flux
GC_F2_20Ml.wav,4.435011337868481,4.551111111111111,Spectral Flux
GC_F2_3Ml.wav,2.8676643990929707,2.995374149659864,Energy
GC_F2_3Ml.wav,1463.391201814059,1470.0553287981859,Envelope
GC_F2_3Ml.wav,1471.8897052154196,1475.001179138322,Envelope
GC_F2_3Ml.wav,1476.8819954648527,1482.0716553287982,Envelope
GC_F2_3Ml.wav,1534.2468934240362,1541.12,Envelope
GC_F2_3Ml.wav,1542.0139682539682,1546.0542403628117,Envelope
GC_F2_3Ml.wav,1598.8680272108843,1600.1567346938775,Envelope
GC_F2_3Ml.wav,1602.7457596371883,1609.1892970521542,Envelope
GC_F2_3Ml.wav,2.8328344671201813,2.9837641723356008,Spectral Flux
GC_F2_3Ml.wav,3.006984126984127,3.111473922902494,Spectral Flux
GC_F2_50ML.wav,2.670294784580499,2.9257142857142857,Energy
GC_F2_50ML.wav,5.5147392290249435,5.712108843537415,Energy
GC_F2_50ML.wav,5.793378684807256,5.793378684807256,Energy
GC_F2_50ML.wav,1367.5043990929705,1372.380589569161,Envelope
GC_F2_50ML.wav,1379.5323356009071,1412.4930612244898,Envelope
GC_F2_50ML.wav,1419.5519274376418,1420.5155555555555,Envelope
GC_F2_50ML.wav,1494.0415419501135,1502.1685260770976,Envelope
GC_F2_50ML.wav,1503.166984126984,1504.9549206349207,Envelope
GC_F2_50ML.wav,1505.8024489795919,1507.3233560090703,Envelope
GC_F2_50ML.wav,1510.8179591836736,1511.6190476190477,Envelope
GC_F2_50ML.wav,1517.4820861678004,1530.9960997732426,Envelope
GC_F2_50ML.wav,1534.2701133786848,1536.3599092970521,Envelope
GC_F2_50ML.wav,1537.0216780045353,1537.985306122449,Envelope
GC_F2_50ML.wav,1538.4148752834467,1539.262403628118,Envelope
GC_F2_50ML.wav,1540.7484807256235,1541.8746485260772,Envelope
GC_F2_50ML.wav,2404.3450340136055,2830.291882086168,Envelope
GC_F2_50ML.wav,2866.1202721088434,2870.8455328798186,Envelope
GC_F2_50ML.wav,2877.9972789115645,2925.4356462585033,Envelope
GC_F2_50ML.wav,2926.2367346938777,2929.777777777778,Envelope
GC_F2_50ML.wav,2932.6338321995463,2938.8219501133785,Envelope
GC_F2_50ML.wav,2939.8204081632653,2941.5386848072562,Envelope
GC_F2_50ML.wav,2947.6803628117914,2948.226031746032,Envelope
GC_F2_50ML.wav,2963.7601814058958,2969.286530612245,Envelope
GC_F2_50ML.wav,2970.7145578231293,2971.3879365079365,Envelope
GC_F2_50ML.wav,2972.4908843537414,2976.1480272108843,Envelope
GC_F2_50ML.wav,2.6586848072562357,2.7747845804988662,Spectral Flux
GC_F2_50ML.wav,2.914104308390023,4.6788208616780045,Spectral Flux
GC_F2_50ML.wav,4.702040816326531,5.50312925170068,Spectral Flux
GC_F2_50ML.wav,5.526349206349207,5.712108843537415,Spectral Flux
GC_F2_50ML.wav,5.7817687074829935,5.7817687074829935,Spectral Flux
GC_F2_5ml.wav,4.667210884353741,4.783310657596372,Energy
GC_F2_5ml.wav,4.864580498866213,4.992290249433107,Energy
GC_F2_5ml.wav,2386.930068027211,2391.341859410431,Envelope
GC_F2_5ml.wav,2397.924716553288,2403.2885260770977,Envelope
GC_F2_5ml.wav,2455.440544217687,2456.903401360544,Envelope
GC_F2_5ml.wav,2461.663492063492,2462.859319727891,Envelope
GC_F2_5ml.wav,2464.705306122449,2498.966349206349,Envelope
GC_F2_5ml.wav,2500.324716553288,2501.8107936507936,Envelope
GC_F2_5ml.wav,2504.690068027211,2505.433106575964,Envelope
GC_F2_5ml.wav,2508.033741496599,2511.1452154195013,Envelope
GC_F2_5ml.wav,2514.0128798185942,2516.4625850340135,Envelope
GC_F2_5ml.wav,2518.5291609977326,2523.149931972789,Envelope
GC_F2_5ml.wav,2527.1785941043086,2530.255238095238,Envelope
GC_F2_5ml.wav,2532.7746031746033,2536.2227664399093,Envelope
GC_F2_5ml.wav,2537.0935147392292,2539.252970521542,Envelope
GC_F2_5ml.wav,2544.4426303854875,2551.385396825397,Envelope
GC_F2_5ml.wav,2561.4744671201815,2563.181133786848,Envelope
GC_F2_5ml.wav,2566.2113378684808,2569.0673922902492,Envelope
GC_F2_5ml.wav,2569.9381405895692,2571.215238095238,Envelope
GC_F2_5ml.wav,2573.3630839002267,2573.955192743764,Envelope
GC_F2_5ml.wav,2576.0333786848073,2576.474557823129,Envelope
GC_F2_5ml.wav,4.632380952380952,4.771700680272109,Spectral Flux
GC_F2_5ml.wav,4.794920634920635,4.899410430839002,Spectral Flux
GC_F2_5ml.wav,4.957460317460318,4.957460317460318,Spectral Flux
GE-M1-3ml.wav,8.881632653061224,9.496961451247165,Energy
GE-M1-3ml.wav,2978.5280725623584,2981.0474376417233,Envelope
GE-M1-3ml.wav,4551.738049886621,4567.655328798186,Envelope
GE-M1-3ml.wav,4573.646077097505,4578.3248979591835,Envelope
GE-M1-3ml.wav,4581.343492063492,4870.118458049887,Envelope
GE-M1-3ml.wav,4872.579773242631,4882.959092970522,Envelope
GE-M1-3ml.wav,4889.309750566894,4894.139501133787,Envelope
GE-M1-3ml.wav,4897.912743764173,4902.312925170068,Envelope
GE-M1-3ml.wav,4906.3996371882085,4910.881088435374,Envelope
GE-M1-3ml.wav,4913.017324263039,4916.662857142857,Envelope
GE-M1-3ml.wav,4918.915192743764,4920.343219954649,Envelope
GE-M1-3ml.wav,4923.303764172336,4923.303764172336,Envelope
GE-M1-3ml.wav,3.0882539682539685,3.877732426303855,Spectral Flux
GE-M1-3ml.wav,3.900952380952381,5.804988662131519,Spectral Flux
GE-M1-3ml.wav,5.828208616780046,8.870022675736962,Spectral Flux
GE-M1-3ml.wav,8.893242630385487,9.485351473922902,Spectral Flux
GE-M1-3ml.wav,9.508571428571429,9.508571428571429,Spectral Flux
GE_F1-10ML.wav,8.684263038548753,8.800362811791382,Energy
GE_F1-10ML.wav,8.835192743764173,11.586757369614512,Energy
GE_F1-10ML.wav,12.085986394557823,12.19047619047619,Energy
