audio_file,segment_type,frequency_hz,spl_db,detected_swallows,expected_swallows,group,volume_ml
GC-F10-10ml.wav,pre_swallow,1012.060547,-21.6991507,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1022.827148,-21.32366104,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1033.59375,-21.66449232,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1044.360352,-21.76722654,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1055.126953,-22.03022291,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1065.893555,-24.55649524,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1076.660156,-22.80152666,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1087.426758,-22.24886389,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1098.193359,-22.89503935,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1108.959961,-23.59631733,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1119.726563,-23.2958278,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1130.493164,-22.0368918,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1141.259766,-23.29255881,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1152.026367,-23.57775732,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1162.792969,-22.40758239,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1173.55957,-22.18381531,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1184.326172,-23.81121605,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1195.092773,-24.46199616,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1205.859375,-23.68252439,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1216.625977,-23.09431196,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1227.392578,-22.95938295,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1238.15918,-25.06712039,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1248.925781,-23.93780323,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1259.692383,-24.67098926,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1270.458984,-23.32371001,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1281.225586,-22.79555713,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1291.992188,-23.14202057,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1302.758789,-22.187859,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1313.525391,-20.94445148,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1324.291992,-21.80838968,2,2,Control,10
